자치구명,설치위치,운영관리
서울특별시 용산구,서울특별시 용산구 현대자동차사옥 옥상,현대자동차
서울특별시 용산구,서울특별시 용산구 진성빌딩 옥상,진성빌딩
서울특별시 용산구,서울특별시 용산구 미성상사㈜ 1층 외부,미성상사
서울특별시 용산구,서울특별시 용산구 미성상사 공장 옥상,미성상사
서울특별시 용산구,서울특별시 용산구 조양빌딩 옥상,조양빌딩
서울특별시 용산구,서울특별시 용산구 하나실업빌딩 옥상,하나실업빌딩
서울특별시 용산구,서울특별시 용산구 오리온제과 옥상,오리온제과
서울특별시 용산구,"서울특별시 용산구 오리온제과 공장 옥상, 주차장",오리온제과
서울특별시 용산구,"서울특별시 용산구 우경빌딩 옥상, 1층 외부",우경빌딩
서울특별시 용산구,서울특별시 용산구 POBA 지방행정공제회 건물 1층 주차장,대한지방행정공제회
서울특별시 용산구,서울특별시 용산구 넥서스밸리 1층 외부,넥서스밸리
서울특별시 용산구,서울특별시 용산구 GS한강에끌라트 1층 외부,GS한강에끌라트
서울특별시 용산구,서울특별시 용산구 한강그랜드오피스 주차장 옆,한강그랜드오피스
서울특별시 용산구,"서울특별시 용산구 용산전자오피스텔 옥상, 건물옆",용산전자오피스텔
서울특별시 용산구,서울특별시 용산구 NH농협은행 용산별관(하나로마트) 옥상,NH농협은행
서울특별시 용산구,"서울특별시 용산구 대우아이빌 16층 옥상, 1층 외부",대우아이빌
서울특별시 용산구,서울특별시 용산구 유베이스 1층 외부,유베이스
서울특별시 용산구,서울특별시 용산구 대원빌딩 1층 현관옆,대원빌딩
서울특별시 용산구,서울특별시 용산구 기독교대한감리회여선교회관 1층 외부,기독교대한감리회여선교회관
서울특별시 용산구,서울특별시 용산구 일각빌딩 5층,일각빌딩
서울특별시 용산구,서울특별시 용산구 한남빌딩 5층 외부,한남빌딩
서울특별시 용산구,서울특별시 용산구 남영비비안 1층 외부(정자),비비안
서울특별시 용산구,서울특별시 용산구 서울역 풍림 아이원플러스 공개공지,서울역 풍림아이원플러스
서울특별시 용산구,서울특별시 용산구 세광음악사 옥상,세광음악사
서울특별시 용산구,서울특별시 용산구 한화빌딩 1층 외부,한화빌딩
서울특별시 용산구,서울특별시 용산구 보은개발빌딩 옥상,보은개발
서울특별시 용산구,서울특별시 용산구 애전빌딩 옥상,애전빌딩
서울특별시 용산구,서울특별시 용산구 한진중공업 빌딩 5층 외부,갈월동 오피스
서울특별시 용산구,서울특별시 용산구 KCC IT빌딩 옥상,KCC IT빌딩
서울특별시 용산구,서울특별시 용산구 금강토탈패션할인매장 주차장,금강토탈패션할인매장
서울특별시 용산구,서울특별시 용산구 용산빌딩 1층 외부(건물뒤편),용산빌딩
서울특별시 용산구,서울특별시 용산구 청룡빌딩 주차장,청룡빌딩
서울특별시 용산구,"서울특별시 용산구 롯데지알에스 옥상, 주차장",롯데지알에스
서울특별시 용산구,서울특별시 용산구 금강빌딩 주차장,서경산업
서울특별시 용산구,서울특별시 용산구 수빌딩 옥상,수빌딩
서울특별시 용산구,서울특별시 용산구 우리빌딩 주차장,우리빌딩
서울특별시 용산구,서울특별시 용산구 기업은행용산지점 2층 베란다,기업은행용산지점
서울특별시 용산구,서울특별시 용산구 진흥빌딩 옥상,진흥빌딩
서울특별시 용산구,서울특별시 용산구 한치과의원 건물 주차장,한치과
서울특별시 용산구,서울특별시 용산구 LS용산타워 주차장,㈜하나은행
서울특별시 용산구,서울특별시 용산구 용산더프라임 업무동 지하 1층,용산더프라임
서울특별시 용산구,서울특별시 용산구 한국폴리텍대학 정수캠퍼스,한국폴리텍대학
서울특별시 용산구,서울특별시 용산구 한국폴리텍대학 정수캠퍼스,한국폴리텍대학
서울특별시 용산구,서울특별시 용산구 한국폴리텍대학 정수캠퍼스,한국폴리텍대학
서울특별시 용산구,서울특별시 용산구 한국폴리텍대학 정수캠퍼스,한국폴리텍대학
