자치구,시설위치,운영관리
서울특별시 광진구,쇼타임 PC방 (중곡점),
서울특별시 광진구,아센,
서울특별시 광진구,티라미수,
서울특별시 광진구,고릴라 세븐PC방 중곡점,
서울특별시 광진구,아레나피씨,
서울특별시 광진구,1%PC아레나,
서울특별시 광진구,오지구지리는PC방,
서울특별시 광진구,비원 PC방,
서울특별시 광진구,G PRO PC&CAFE,
서울특별시 광진구,비원 건대2호점,
서울특별시 광진구,비원,
서울특별시 광진구,넥스트PC카페,
서울특별시 광진구,e-sports center 건대점,
서울특별시 광진구,제노 PC ZONE,
서울특별시 광진구,포포PC방 건대점,
서울특별시 광진구,놀숲 건대점,
서울특별시 광진구,만화카페 라이브러리,
서울특별시 광진구,동서울터미널 앞 전면보도,
서울특별시 광진구,아차산배수지공원,
